combined_shot_type;loc_x;loc_y;minutes_remaining;period;playoffs;season;seconds_remaining;shot_made_flag;shot_type
Layup;-21;0;2;4;0;2002-03;49;0;2PT Field Goal
Layup;10;0;4;4;0;2005-06;0;0;2PT Field Goal
Jump Shot;97;85;2;4;0;2014-15;50;1;2PT Field Goal
Jump Shot;173;128;5;3;1;1997-98;28;1;2PT Field Goal
Jump Shot;50;173;0;7;0;2010-11;44;0;2PT Field Goal
Jump Shot;7;194;6;2;1;2000-01;25;1;2PT Field Goal
Layup;0;0;6;2;0;2009-10;29;0;2PT Field Goal
Dunk;0;0;2;1;0;2001-02;58;1;2PT Field Goal
Jump Shot;0;205;11;1;0;2009-10;36;1;2PT Field Goal
Jump Shot;-149;359;0;4;0;2010-11;56;0;3PT Field Goal
Layup;0;19;0;1;0;2012-13;6;0;2PT Field Goal
Jump Shot;-57;72;2;3;0;1999-00;47;0;2PT Field Goal
Jump Shot;-38;59;4;3;0;2004-05;55;0;2PT Field Goal
Layup;-23;17;0;2;0;2010-11;11;1;2PT Field Goal
Layup;9;12;6;3;0;2012-13;20;1;2PT Field Goal
Layup;0;0;0;3;0;2005-06;56;1;2PT Field Goal
Jump Shot;-160;203;6;3;0;2015-16;48;0;3PT Field Goal
Dunk;0;0;3;1;0;1997-98;16;1;2PT Field Goal
Layup;0;0;6;3;0;2007-08;57;0;2PT Field Goal
Layup;15;18;9;4;0;2003-04;26;0;2PT Field Goal
Jump Shot;156;-13;9;2;0;2005-06;17;1;2PT Field Goal
Jump Shot;-82;141;10;1;0;2006-07;23;1;2PT Field Goal
Layup;20;4;3;2;1;2010-11;0;1;2PT Field Goal
Jump Shot;158;194;7;2;0;2004-05;52;0;3PT Field Goal
Jump Shot;-107;171;1;3;0;2005-06;47;1;2PT Field Goal
Jump Shot;135;114;2;4;0;2007-08;58;0;2PT Field Goal
Jump Shot;172;-3;4;4;0;2006-07;2;0;2PT Field Goal
Layup;0;0;7;4;0;2002-03;4;0;2PT Field Goal
Jump Shot;149;63;4;3;0;1998-99;34;1;2PT Field Goal
Layup;0;0;11;4;0;1997-98;32;0;2PT Field Goal
Jump Shot;217;163;5;1;0;2005-06;50;0;3PT Field Goal
Jump Shot;-171;190;2;1;0;2014-15;29;1;3PT Field Goal
Jump Shot;99;138;9;3;0;2008-09;7;0;2PT Field Goal
Jump Shot;0;44;10;3;0;2012-13;38;1;2PT Field Goal
Jump Shot;126;70;10;3;1;1998-99;52;0;2PT Field Goal
Jump Shot;131;227;0;1;0;2004-05;0;0;3PT Field Goal
Layup;0;0;4;1;0;2009-10;33;0;2PT Field Goal
Jump Shot;-141;215;6;1;0;2006-07;14;0;3PT Field Goal
Jump Shot;-191;178;1;4;0;2007-08;57;0;3PT Field Goal
Dunk;0;0;9;2;0;2006-07;56;1;2PT Field Goal
Jump Shot;161;118;6;4;0;2005-06;43;0;2PT Field Goal
Jump Shot;-107;201;3;1;0;2007-08;32;0;2PT Field Goal
Jump Shot;134;216;9;2;0;1997-98;51;1;3PT Field Goal
Jump Shot;-6;149;2;3;0;1997-98;2;0;2PT Field Goal
Jump Shot;-29;171;5;3;0;2001-02;54;0;2PT Field Goal
Jump Shot;-99;225;9;4;0;2004-05;27;1;3PT Field Goal
Jump Shot;69;61;0;2;0;2014-15;6;0;2PT Field Goal
Layup;0;0;9;1;0;1998-99;10;1;2PT Field Goal
Layup;20;18;11;3;1;2003-04;36;1;2PT Field Goal
Layup;0;0;1;1;0;2004-05;28;0;2PT Field Goal
Jump Shot;-11;52;2;4;0;2012-13;20;0;2PT Field Goal
Dunk;0;0;7;2;0;2000-01;24;1;2PT Field Goal
Jump Shot;64;104;2;2;0;2010-11;7;0;2PT Field Goal
Jump Shot;-103;119;4;3;0;2010-11;10;0;2PT Field Goal
Layup;0;0;0;3;0;1999-00;7;1;2PT Field Goal
Dunk;0;0;10;1;0;1999-00;56;1;2PT Field Goal
Jump Shot;-94;4;2;1;0;2000-01;44;0;2PT Field Goal
Layup;0;0;0;2;1;2003-04;57;0;2PT Field Goal
Layup;0;0;4;2;0;2006-07;22;0;2PT Field Goal
Jump Shot;164;5;1;3;1;1999-00;56;0;2PT Field Goal
Jump Shot;-185;164;2;2;0;2008-09;5;0;3PT Field Goal
Dunk;-5;8;2;3;1;2007-08;53;1;2PT Field Goal
Jump Shot;-95;230;0;3;0;2002-03;5;1;3PT Field Goal
Jump Shot;103;110;2;3;0;2010-11;31;1;2PT Field Goal
Jump Shot;-18;89;3;3;0;2007-08;0;1;2PT Field Goal
Jump Shot;-1;68;7;2;0;2000-01;5;1;2PT Field Goal
Jump Shot;63;147;8;1;0;1998-99;39;0;2PT Field Goal
Jump Shot;58;47;3;4;0;2000-01;40;0;2PT Field Goal
Jump Shot;-123;58;5;4;0;2004-05;53;1;2PT Field Goal
Jump Shot;71;88;2;2;1;1996-97;49;1;2PT Field Goal
Jump Shot;-170;-6;11;3;0;2001-02;5;0;2PT Field Goal
Jump Shot;120;227;0;4;0;2002-03;7;1;3PT Field Goal
Layup;0;0;10;1;0;2003-04;42;1;2PT Field Goal
Jump Shot;153;-8;3;3;0;2005-06;11;0;2PT Field Goal
Jump Shot;174;191;9;3;0;2006-07;18;0;3PT Field Goal
Layup;0;0;2;4;0;2007-08;42;0;2PT Field Goal
Jump Shot;-134;230;10;4;0;2001-02;19;0;3PT Field Goal
Dunk;3;4;7;1;0;2001-02;49;0;2PT Field Goal
Jump Shot;161;143;2;2;1;2006-07;17;1;2PT Field Goal
Layup;1;-8;1;2;0;2012-13;0;1;2PT Field Goal
Jump Shot;7;93;11;4;0;2009-10;21;0;2PT Field Goal
Layup;0;0;1;2;0;2008-09;15;1;2PT Field Goal
Jump Shot;47;196;10;3;1;2007-08;38;1;2PT Field Goal
Jump Shot;85;194;4;3;0;2007-08;27;1;2PT Field Goal
Jump Shot;-141;122;11;2;0;2005-06;43;1;2PT Field Goal
Layup;0;0;6;2;0;2000-01;26;1;2PT Field Goal
Jump Shot;164;187;9;2;0;2005-06;0;1;3PT Field Goal
Jump Shot;156;107;3;4;0;2005-06;51;1;2PT Field Goal
Jump Shot;77;43;11;3;0;2004-05;43;1;2PT Field Goal
Jump Shot;150;51;0;4;0;2001-02;36;1;2PT Field Goal
Jump Shot;49;143;8;2;0;2004-05;42;0;2PT Field Goal
Jump Shot;44;184;4;2;0;2002-03;45;1;2PT Field Goal
